query,intent
हाँ,Yes
हाँ जी  सही,Yes
ठीक है,Yes
ठीक,Yes
मैं सहमत हूं,Yes
थेक है,Yes
थिक है,Yes
हान,Yes
मैं इसका समर्थन करता हूं,Yes
ज़रूर,Yes
मान गया,Yes
मैं सहमत हूं,Yes
आगे बढ़ो,Yes
आगे बढ़ते,Yes
जी हाँ,Yes
बिल्कुल,Yes
"हाँ, बिल्कुल",Yes
"हां, बिल्कुल सही",Yes
सही है,Yes
जी आपकी बात सही है,Yes
"हाँ, यकीनन",Yes
बिल्कुल सही,Yes
यस,Yes
करेक्ट है,Yes
चाहिए,Yes
जी हां चाहिए,Yes
एग्री,Yes
पता है,Yes
येस,Yes
येस जी,Yes
नो,No
नाह,No
नॉट रियली,No
डॉन'ट नीड,No
नो नीड,No
डिसग्री,No
नोप,No
नोपेस,No
नहीं,No
आई डोंट केयर,No
डोंट अग्री,No
नह्ह,No
"आई डोंट नो, आई डोंट केयर",No
डोंट नो,No
नहीं,No
ना,No
ज़रूरी नहीं,No
जरूरत नहीं है,No
कोई ज़रुरत नहीं है,No
असहमत,No
नहीं,No
नहीं,No
तो नहीं,No
मुझे परवाह नहीं है,No
सहमत नहीं,No
नहीं,No
पता नहीं,No
पता नहीं,No
नाही,No
गलत,No
नहीं चाहिए,No
सही नहीं है,No
जी नहीं,No
पता नहीं है,No